Nr.;Name;Zahlen;Passwort;Zugang;Geschlecht;Passwortl�ngen
1;Dustin;;g8NcepP1iJF_M=%HFtr;;m;0
2;Reinbert;;CQUD!r?+?*AKST7*xw;;m;
3;Marietraud;2;C?u=3ÄÄcß0c:_QJßE/N?qW)xf2(Gez;12.09.2003;w;
4;Luisa;1;,L3rBzFÖTügbegRüÖuJ)ab_b?Ä;20.07.1999;w;
5;Alicia;;amuMnrbeq3n#t).püNDßISMi;13.10.1973;d;
6;Anrich;;8# 4y_kY;31.12.2003;m;
7;Runhild;2;vA0WygA2mqr7;;w;
8;Matthies;1;#5%7J7UÖWknIW$eÖr:F+;22.08.1978;m;
9;Otger;2;D$n,ßÖr%ä0.XPq1Wi(ÜhO=xJy#DVJ+;;m;
10;Trutz;2;DQws9=kZ5ü4nr0WtN$ohM;08.07.1973;m;
;;;;;;
;;;;;;
Anzahl M�nner = ;;6;;;;
Mittelwert =;;1,666666667;;;;
Fehlende Zug�nge =;;4;;;;
Letzte Zugang =;;37986;;;;
